1996-10-21T18:22:57.728,1996-10-22T10:33:23.025,"INSTRUMENT ANOMALY: CONCURRENT RTS/OPT AVG, DATA CORRUPTED"
1996-11-01T11:44:09.157,1996-11-02T01:44:57.126,"NO COVERAGE"
1996-11-02T17:00:09.092,1996-11-02T17:14:57.092,"ONBOARD AACS OUTAGE"
1996-11-03T00:41:57.075,1996-11-03T00:54:09.075,""
1996-11-03T11:35:39.051,1996-11-03T11:48:03.051,""
1996-11-03T19:35:15.034,1996-11-03T20:00:03.033,""
1996-11-03T21:59:39.028,1996-11-03T23:12:03.026,""
1996-11-04T04:23:51.014,1996-11-04T04:36:03.014,""
1996-11-04T05:35:51.011,1996-11-04T05:48:03.011,""
1996-11-04T10:29:51.000,1996-11-04T10:36:03.000,""
1996-11-04T15:18:14.990,1996-11-04T15:30:26.989,""
1996-11-04T21:32:50.976,1996-11-04T23:12:02.972,""
1996-11-05T12:02:42.944,1996-11-05T12:15:06.943,""
1996-11-05T12:26:42.943,1996-11-05T12:39:06.943,""
1996-11-05T13:17:54.941,1996-11-05T13:27:06.941,""
1996-11-05T17:02:42.933,1996-11-05T17:15:06.932,""
1996-11-05T19:26:42.927,1996-11-05T22:00:18.922,""
1996-11-06T10:47:38.893,1996-11-06T11:12:02.893,""
1996-11-06T17:35:38.878,1996-11-06T17:48:02.878,""
1996-11-06T18:11:38.877,1996-11-06T22:00:02.869,""
1996-11-07T02:53:50.858,1996-11-07T03:18:50.857,"ONBOARD AACS OUTAGE DURING S/C TURN"
1996-11-07T07:23:38.848,1996-11-07T07:36:02.847,""
1996-11-07T09:59:38.842,1996-11-07T10:12:02.842,""
1996-11-07T17:28:02.825,1996-11-07T17:36:02.825,""
1996-11-08T23:17:02.759,1996-11-08T23:59:02.758,"ONBOARD AACS OUTAGE DURING S/C TURN"
1996-11-09T10:10:14.735,1996-11-09T11:06:14.733,"ONBOARD AACS OUTAGE DURING S/C TURN"
1996-11-09T22:32:38.708,1996-11-09T22:57:02.707,""
1996-11-10T00:38:50.703,1996-11-10T01:15:02.702,""
1996-11-10T01:20:50.702,1996-11-10T01:57:02.700,""
1996-11-10T01:57:26.700,1996-11-10T02:09:02.700,""
1996-11-10T02:44:50.698,1996-11-10T03:39:02.696,""
1996-11-10T03:44:50.696,1996-11-10T04:03:02.696,""
1996-11-10T04:08:50.695,1996-11-10T04:15:02.695,""
1996-11-10T04:20:50.695,1996-11-10T04:39:02.694,""
1996-11-10T04:50:50.694,1996-11-10T04:57:02.694,""
1996-11-10T05:02:50.693,1996-11-10T05:57:02.691,""
1996-11-10T17:08:38.667,1996-11-10T17:45:02.665,""
1996-11-10T18:20:38.664,1996-11-10T18:33:02.663,""
1996-11-10T23:08:38.653,1996-11-10T23:21:02.653,""
1996-11-11T02:02:38.647,1996-11-11T02:18:38.646,"MAG SENSOR FLIP"
1996-11-11T15:44:38.616,1996-11-11T15:57:02.616,""
1996-11-11T17:32:38.612,1996-11-11T17:45:02.612,""
1996-11-22T14:50:44.033,1996-11-23T00:39:12.011,""
1996-12-11T20:46:17.009,1996-12-13T19:16:12.906,"WRONG ONBOARD MATRIX"
1996-12-14T07:29:48.879,1996-12-14T23:00:36.844,""
1996-12-15T23:41:04.790,1996-12-16T00:21:12.788,""
1996-12-16T02:05:48.784,1996-12-16T02:12:00.784,""
1996-12-16T06:47:48.774,1996-12-16T07:00:00.773,""
1996-12-16T07:05:48.773,1996-12-16T07:18:00.773,""
1996-12-16T08:35:36.770,1996-12-16T09:00:00.769,""
1996-12-16T14:47:36.756,1996-12-16T15:12:00.755,""
1996-12-16T18:35:36.748,1996-12-16T19:00:00.747,""
1996-12-16T23:35:48.737,1996-12-16T23:48:00.736,""
1996-12-17T00:25:36.735,1996-12-17T00:36:00.734,""
1996-12-17T05:53:48.723,1996-12-17T06:00:00.722,""
1996-12-17T07:44:36.719,1996-12-17T07:57:00.718,""
1996-12-17T19:32:36.692,1996-12-17T19:45:00.692,""
1996-12-18T07:05:36.667,1996-12-18T07:18:00.666,""
1996-12-19T03:29:36.622,1996-12-19T04:06:00.620,""
1996-12-19T12:12:00.602,1996-12-19T12:48:24.601,""
1996-12-19T15:36:00.595,1996-12-19T15:48:24.594,""
1996-12-19T19:00:00.587,1996-12-19T19:36:24.586,""
1996-12-19T22:59:48.578,1996-12-19T23:18:00.578,""
1996-12-20T03:23:36.569,1996-12-20T03:36:00.568,""
1996-12-20T04:00:24.567,1996-12-20T04:32:00.566,"ONBOARD AACS OUTAGE DURING S/C TURN"
1996-12-20T07:47:36.559,1996-12-20T13:12:00.547,""
1996-12-20T17:59:36.536,1996-12-20T18:55:12.534,"ONBOARD AACS OUTAGE DURING S/C TURN"
1996-12-21T06:59:36.507,1996-12-21T07:12:00.507,""
1996-12-21T07:47:36.506,1996-12-21T08:00:00.505,""
1996-12-21T10:47:36.499,1996-12-21T14:24:00.491,""
1996-12-21T14:59:36.490,1996-12-23T03:45:57.075,"NO COVERAGE"
1996-12-23T18:19:33.043,1996-12-24T13:44:20.999,""
1997-01-07T02:01:08.947,1997-01-07T17:33:23.579,""
1997-01-08T00:01:39.565,1997-01-08T10:48:46.208,""
1997-01-11T13:37:53.991,1997-02-28T10:20:51.219,"SOLAR CONJUNTION/INSTRUMENT ANOMALY: SINGLE EVENT UPSET"
1997-03-02T07:57:31.518,1997-03-03T19:32:59.441,"WRONG ONBOARD MATRIX"
1997-03-19T12:23:31.951,1997-03-19T12:35:55.951,""
1997-03-20T17:11:31.888,1997-03-20T17:23:55.888,""
1997-03-20T20:11:31.882,1997-03-20T20:23:55.881,""
1997-03-21T08:51:55.854,1997-03-21T08:59:55.854,""
1997-03-23T22:23:31.720,1997-03-23T22:35:55.719,""
1997-03-26T16:48:43.575,1997-03-26T17:03:31.574,"MAG SENSOR FLIP"
1997-03-27T01:18:43.556,1997-03-27T01:23:55.556,""
1997-03-28T18:04:19.467,1997-03-28T18:11:55.467,""
1997-03-28T20:22:19.462,1997-03-28T20:39:31.462,"ONBOARD AACS OUTAGE"
1997-03-29T17:47:31.415,1997-03-29T17:59:55.415,""
1997-03-30T03:59:31.393,1997-03-30T04:23:55.392,""
1997-03-30T20:56:26.689,1997-03-30T21:15:02.689,""
1997-03-31T02:53:50.676,1997-03-31T03:00:02.676,""
1997-04-02T16:35:50.542,1997-04-02T16:42:02.541,""
1997-04-03T07:14:42.510,1997-04-03T07:27:06.509,""
1997-04-04T01:56:36.469,1997-04-04T02:09:00.468,""
1997-04-04T03:20:36.466,1997-04-04T03:33:00.465,""
1997-04-04T10:20:36.451,1997-04-04T10:33:00.450,""
1997-04-04T10:44:36.450,1997-04-04T11:09:00.449,""
1997-04-04T16:42:06.437,1997-04-04T16:57:12.436,""
1997-04-04T18:51:06.432,1997-04-04T19:03:12.432,""
1997-04-04T20:15:06.429,1997-04-04T20:30:00.428,""
1997-04-04T20:35:48.428,1997-04-04T20:54:00.428,""
1997-04-04T21:11:48.427,1997-04-04T21:30:00.426,""
1997-04-04T21:41:48.426,1997-04-04T21:48:00.426,""
1997-04-05T01:23:48.418,1997-04-05T01:30:00.417,""
1997-04-05T01:35:48.417,1997-04-05T01:48:00.417,""
1997-04-05T02:41:48.415,1997-04-05T02:48:00.415,""
1997-04-06T00:59:48.366,1997-04-06T01:06:00.366,""
1997-04-06T21:11:36.322,1997-04-06T21:24:00.322,""
1997-04-06T21:35:36.321,1997-04-06T22:12:00.320,""
1997-04-07T12:44:00.288,1997-04-07T13:00:00.288,""
1997-04-07T14:02:24.285,1997-04-07T14:18:48.285,"ONBOARD AACS OUTAGE"
1997-04-07T17:56:24.277,1997-04-07T18:12:00.276,""
1997-04-07T19:59:36.272,1997-04-07T20:36:00.271,""
1997-04-08T12:35:36.236,1997-04-08T16:48:00.227,""
1997-04-08T16:59:36.226,1997-04-08T18:00:00.224,""
1997-04-11T02:11:36.102,1997-04-11T02:24:00.101,""
1997-04-12T07:00:00.039,1997-04-12T07:16:00.038,"MAG SENSOR FLIP"
1997-04-13T16:35:35.965,1997-04-13T16:47:59.965,""
1997-04-14T10:23:59.927,1997-04-14T10:35:59.926,""
1997-04-15T01:05:11.894,1997-04-15T01:47:59.893,""
1997-04-15T02:23:35.892,1997-04-15T02:47:59.891,""
1997-04-21T00:23:35.582,1997-04-21T00:35:59.581,""
1997-04-23T01:26:02.170,1997-04-23T09:31:22.202,""
1997-04-23T21:23:11.510,1997-04-24T00:43:23.503,""
1997-04-27T19:19:07.308,1997-05-06T09:02:48.200,"WRONG ONBOARD MATRIX"
1997-05-07T14:17:00.137,1997-05-07T14:23:12.137,"TELEMETRY OUTAGE"
1997-05-09T23:14:48.014,1997-05-09T23:39:00.014,"TELEMETRY OUTAGE"
1997-05-10T01:20:48.010,1997-05-10T02:21:00.008,"TELEMETRY OUTAGE"
1997-05-10T02:38:48.007,1997-05-10T03:03:00.006,"TELEMETRY OUTAGE"
1997-05-10T03:26:48.005,1997-05-10T03:33:00.005,"TELEMETRY OUTAGE"
1997-05-11T17:59:35.923,1997-05-11T18:19:11.922,"ONBOARD AACS OUTAGE"
1997-05-13T01:59:35.854,1997-05-13T02:11:59.853,"TELEMETRY OUTAGE"
1997-05-14T01:45:11.803,1997-05-14T02:36:23.801,"AACS CORRUPTED"
1997-05-16T16:59:35.667,1997-05-16T17:23:59.666,"TELEMETRY OUTAGE"
1997-05-16T18:23:35.664,1997-05-16T18:35:59.664,"TELEMETRY OUTAGE"
1997-05-16T18:36:23.664,1997-05-16T18:47:59.663,""
1997-05-18T17:35:35.563,1997-05-18T17:47:59.562,"TELEMETRY OUTAGE"
1997-05-18T19:47:35.558,1997-05-18T19:59:59.558,"TELEMETRY OUTAGE"
1997-05-19T23:47:35.498,1997-05-20T00:23:59.497,"TELEMETRY OUTAGE"
1997-05-24T01:11:35.289,1997-05-24T01:35:59.288,"TELEMETRY OUTAGE"
1997-05-24T01:47:35.287,1997-05-24T02:11:59.286,"TELEMETRY OUTAGE"
1997-05-24T02:35:35.286,1997-05-24T02:47:59.285,"TELEMETRY OUTAGE"
1997-05-24T03:11:35.284,1997-05-24T03:59:59.283,"TELEMETRY OUTAGE"
1997-05-24T05:23:35.280,1997-05-24T05:35:59.279,"TELEMETRY OUTAGE"
1997-05-24T11:35:35.266,1997-05-24T11:47:59.266,"TELEMETRY OUTAGE"
1997-05-24T17:59:35.253,1997-05-24T18:11:59.252,"TELEMETRY OUTAGE"
1997-05-26T13:09:11.160,1997-05-26T13:21:35.159,"TELEMETRY OUTAGE"
1997-05-26T13:33:11.159,1997-05-26T13:57:35.158,"TELEMETRY OUTAGE"
1997-05-26T15:21:11.155,1997-05-26T15:57:35.154,"TELEMETRY OUTAGE"
1997-05-26T16:09:11.153,1997-05-26T16:21:35.153,"TELEMETRY OUTAGE"
1997-05-27T00:57:11.135,1997-05-27T01:09:35.134,"TELEMETRY OUTAGE"
1997-06-01T11:33:10.854,1997-06-01T11:45:34.854,"TELEMETRY OUTAGE"
1997-06-02T19:01:58.786,1997-06-02T19:19:10.786,"ONBOARD AACS OUTAGE"
1997-06-03T16:07:34.741,1997-06-03T16:57:34.739,"TELEMETRY OUTAGE"
1997-06-05T06:45:10.658,1997-06-05T07:33:34.657,"TELEMETRY OUTAGE"
1997-06-05T20:57:10.628,1997-06-05T21:09:34.627,"TELEMETRY OUTAGE"
1997-06-05T21:21:10.627,1997-06-05T21:33:34.626,"TELEMETRY OUTAGE"
1997-06-08T17:33:10.480,1997-06-08T18:09:34.479,"TELEMETRY OUTAGE"
1997-06-08T21:33:10.472,1997-06-08T21:45:34.471,"TELEMETRY OUTAGE"
1997-06-12T21:57:10.265,1997-06-12T22:21:34.264,"TELEMETRY OUTAGE"
1997-06-13T01:09:10.258,1997-06-13T01:21:34.258,"TELEMETRY OUTAGE"
1997-06-13T01:33:10.257,1997-06-13T01:45:34.257,"TELEMETRY OUTAGE"
1997-06-13T02:57:10.254,1997-06-13T03:45:34.252,"TELEMETRY OUTAGE"
1997-06-13T03:45:34.252,1997-06-13T04:09:34.252,"TELEMETRY OUTAGE"
1997-06-13T04:45:10.250,1997-06-13T05:33:34.249,"TELEMETRY OUTAGE"
1997-06-13T06:24:22.247,1997-06-13T06:33:34.246,""
1997-06-14T00:45:10.207,1997-06-14T00:57:34.207,"TELEMETRY OUTAGE"
1997-06-16T22:33:10.057,1997-06-16T22:45:34.057,"TELEMETRY OUTAGE"
1997-06-20T22:45:09.851,1997-06-20T22:57:33.850,"TELEMETRY OUTAGE"
1997-06-21T11:09:09.824,1997-06-21T12:21:33.822,"TELEMETRY OUTAGE"
1997-06-21T18:02:21.809,1997-06-21T18:19:09.809,"ONBOARD AACS OUTAGE"
1997-06-22T00:09:09.796,1997-06-22T00:21:33.796,"TELEMETRY OUTAGE"
1997-06-22T05:42:09.784,1997-06-22T05:48:21.784,"TELEMETRY OUTAGE"
1997-06-22T06:00:09.784,1997-06-22T06:06:21.784,"TELEMETRY OUTAGE"
1997-06-22T06:18:09.783,1997-06-22T06:36:21.782,"TELEMETRY OUTAGE"
1997-06-23T11:09:48.388,1997-06-23T11:16:00.388,""
